id_event,datetime,country_code,event_code,day,month,year
1025854683,2021-01-31,WE,40,31,1,2021
1025854684,2021-01-31,IS,40,31,1,2021
1025854685,2021-01-31,WE,46,31,1,2021
1025854686,2021-01-31,PK,190,31,1,2021
1025854687,2021-01-31,AE,10,31,1,2021
1025854688,2021-01-31,IN,10,31,1,2021
1025854689,2021-01-31,AE,10,31,1,2021
1025854690,2021-01-31,PK,190,31,1,2021
1025854691,2021-01-31,,110,31,1,2021
1025854692,2021-01-31,,145,31,1,2021
1025854693,2021-01-31,NI,10,31,1,2021
1025854694,2021-01-31,WE,40,31,1,2021
1025854695,2021-01-31,IS,40,31,1,2021
1025854696,2021-01-31,WE,46,31,1,2021
1025854697,2022-01-01,UK,42,1,1,2022
1025854698,2022-01-01,UK,43,1,1,2022
1025854699,2022-01-24,IN,213,24,1,2022
1025854700,2022-01-24,IN,213,24,1,2022
1025854701,2022-01-24,,43,24,1,2022
1025854702,2022-01-24,RS,72,24,1,2022
1025854703,2022-01-24,,42,24,1,2022
1025854704,2022-01-24,RS,874,24,1,2022
1025854705,2022-01-24,UP,874,24,1,2022
1025854706,2022-01-30,BG,173,30,1,2022
1025854707,2022-01-30,BG,173,30,1,2022
1025854708,2022-01-30,BP,10,30,1,2022
1025854709,2022-01-30,SY,125,30,1,2022
1025854710,2022-01-30,SY,125,30,1,2022
1025854711,2022-01-30,GH,36,30,1,2022
1025854712,2022-01-30,IS,20,30,1,2022
1025854713,2022-01-30,IS,20,30,1,2022
1025854714,2022-01-30,IS,841,30,1,2022
1025854715,2022-01-30,GH,36,30,1,2022
1025854716,2022-01-31,BG,46,31,1,2022
1025854717,2022-01-31,BA,43,31,1,2022
1025854718,2022-01-31,SF,211,31,1,2022
1025854719,2022-01-31,US,40,31,1,2022
1025854720,2022-01-31,SF,50,31,1,2022
1025854721,2022-01-31,UK,57,31,1,2022
1025854722,2022-01-31,US,60,31,1,2022
1025854723,2022-01-31,IC,62,31,1,2022
1025854724,2022-01-31,FR,80,31,1,2022
1025854725,2022-01-31,EI,100,31,1,2022
1025854726,2022-01-31,AF,111,31,1,2022
1025854727,2022-01-31,NO,190,31,1,2022
1025854728,2022-01-31,CH,43,31,1,2022
1025854729,2022-01-31,NI,874,31,1,2022
1025854730,2022-01-31,IN,10,31,1,2022
1025854731,2022-01-31,IN,10,31,1,2022
1025854732,2022-01-31,BG,112,31,1,2022
1025854733,2022-01-31,BG,190,31,1,2022
1025854734,2022-01-31,PK,193,31,1,2022
1025854735,2022-01-31,AS,173,31,1,2022
1025854736,2022-01-31,AS,173,31,1,2022
1025854737,2022-01-31,CH,36,31,1,2022
1025854738,2022-01-31,UK,36,31,1,2022
1025854739,2022-01-31,UK,40,31,1,2022
1025854740,2022-01-31,UK,46,31,1,2022
1025854741,2022-01-31,GH,52,31,1,2022
